playerId,firstName,lastName,proTeam,defaultPosition,jersey,weight,height,age,dateOfBirth,birthPlace,debutYear,draftSelection
4723086,Colston,Loveland,CHI,TE,84,241,78,22,2004-04-09,"Gooding, ID",,10
4362238,Chase,Brown,CIN,RB,30,210,70,26,2000-03-21,"London, ON",,163
4567048,Kenneth,Walker III,KC,RB,9,211,69,25,2000-10-20,"Arlington, TN",,41
4685382,Omarion,Hampton,LAC,RB,8,220,72,23,2003-03-16,"Clayton, NC",,22
4428331,Rashee,Rice,KC,WR,4,204,73,26,2000-04-22,"North Richland Hills, TX",,55
4431452,Drake,Maye,NE,QB,10,225,76,24,2002-08-30,"Huntersville, NC",,3
4870808,Jeremiyah,Love,ARI,RB,4,212,72,21,2005-05-31,"St. Louis, MO",,3
4361370,Chris,Olave,NO,WR,12,187,72,26,2000-06-27,"San Ysidro, CA",,11
4241478,DeVonta,Smith,PHI,WR,6,170,72,27,1998-11-14,"Amite, LA",,10
4595348,Malik,Nabers,NYG,WR,1,200,72,23,2003-07-28,"Youngsville, LA",,6
4361579,Javonte,Williams,DAL,RB,33,222,70,26,2000-04-25,"Wallace, NC",,35
4431459,Tyler,Warren,IND,TE,84,256,78,24,2002-05-24,"Mechanicsville, VA",,14
4569618,Garrett,Wilson,NYJ,WR,5,183,72,26,2000-07-22,"Austin, TX",,10
4426348,Jayden,Daniels,WSH,QB,5,210,76,25,2000-12-18,"San Bernardino, CA",,2
4427366,Breece,Hall,NYJ,RB,20,217,71,25,2001-05-31,"Wichita, KS",,36
4430737,Kyren,Williams,LAR,RB,23,207,69,26,2000-08-26,"St. Louis, MO",,164
4685472,Tetairoa,McMillan,CAR,WR,4,212,77,23,2003-04-05,"Waimanalo, HI",,8
16800,Davante,Adams,LAR,WR,17,204,73,33,1992-12-24,"Palo Alto, CA",2014,53
4362081,Cameron,Dicker,LAC,K,11,216,73,26,2000-05-06,"Austin, TX",,
4696981,Cam,Skattebo,NYG,RB,44,215,71,24,2002-02-05,"Rio Linda, CA",,105
4429615,Zay,Flowers,BAL,WR,4,183,69,25,2000-09-11,"Fort Lauderdale, FL",,22
4040715,Jalen,Hurts,PHI,QB,1,223,73,28,1998-08-07,"Houston, TX",2020,53
2473037,Jason,Myers,SEA,K,5,190,70,35,1991-05-12,"Chula Vista, CA",2015,
4239996,Travis,Etienne Jr.,NO,RB,3,215,70,27,1999-01-26,"Jennings, LA",,25
3915511,Joe,Burrow,CIN,QB,9,215,76,29,1996-12-10,"Athens, OH",2020,1
4567750,Emeka,Egbuka,TB,WR,2,205,73,23,2002-10-14,"Steilacoom, WA",,19
4612826,Ladd,McConkey,LAC,WR,15,185,72,24,2001-11-11,"Chatsworth, GA",,34
4239993,Tee,Higgins,CIN,WR,5,220,76,27,1999-01-18,"Oak Ridge, TN",2020,33
4685702,Quinshon,Judkins,CLE,RB,10,221,72,22,2003-10-29,"Pike Road, AL",,36
4372016,Jaylen,Waddle,DEN,WR,17,185,70,27,1998-11-25,"Houston, TX",,6
4360248,Kyle,Pitts Sr.,ATL,TE,8,250,78,25,2000-10-06,"Philadelphia, PA",,4
4596448,Bucky,Irving,TB,RB,7,195,70,24,2002-08-19,"Chicago, IL",,125
3121422,Terry,McLaurin,WSH,WR,17,210,72,30,1995-09-15,"Indianapolis, IN",2019,76
4259545,D'Andre,Swift,CHI,RB,4,204,68,27,1999-01-14,"Philadelphia, PA",2020,35
3915416,DJ,Moore,BUF,WR,2,213,72,29,1997-04-14,"Philadelphia, PA",2018,24
4430027,Sam,LaPorta,DET,TE,87,245,75,25,2001-01-12,"Highland, IL",,34
2971573,Ka'imi,Fairbairn,HOU,K,15,183,72,32,1994-01-29,"Kailua, HI",2016,
4426388,Jameson,Williams,DET,WR,1,184,73,25,2001-03-26,"St. Louis, MO",,12
5083076,Harold,Fannin Jr.,CLE,TE,44,241,76,22,2004-07-20,"Canton, OH",,67
4035538,David,Montgomery,HOU,RB,32,230,71,29,1997-06-07,"Cincinnati, OH",2019,73
4431299,Rome,Odunze,CHI,WR,15,214,75,24,2002-06-03,"Las Vegas, NV",,9
3040151,George,Kittle,SF,TE,85,250,76,32,1993-10-09,"Norman, OK",2017,146
4689114,Jaxson,Dart,NYG,QB,6,223,74,23,2003-05-13,"Kaysville, UT",,25
4685512,Jadarian,Price,SEA,RB,8,209,71,22,2003-10-09,"Denison, TX",,32
2577417,Dak,Prescott,DAL,QB,4,230,74,33,1993-07-29,"Haughton, LA",2016,135
4882093,Bhayshul,Tuten,JAX,RB,33,209,69,23,2003-02-14,"Paulsboro, NJ",,104
4574716,Harrison,Mevis,LAR,K,92,245,72,24,2002-03-27,"Warsaw, IN",,
4685278,Luther,Burden III,CHI,WR,10,210,72,22,2003-12-12,"St. Louis, MO",,39
4871023,Carnell,Tate,TEN,WR,14,192,74,21,2005-01-19,"Chicago, IL",,4
12483,Matthew,Stafford,LAR,QB,9,214,75,38,1988-02-07,"Dallas, TX",2009,1
3128429,Courtland,Sutton,DEN,WR,14,216,76,30,1995-10-10,"Brenham, TX",2018,40
4038941,Justin,Herbert,LAC,QB,10,236,78,28,1998-03-10,"Eugene, OR",2020,6
4432708,Marvin,Harrison Jr.,ARI,WR,18,220,75,24,2002-08-11,"Philadelphia, PA",,4
4432710,TreVeyon,Henderson,NE,RB,32,202,70,23,2002-10-22,"Hopewell, VA",,38
4047650,DK,Metcalf,PIT,WR,4,229,76,28,1997-12-14,"Oxford, MS",2019,64
4431611,Caleb,Williams,CHI,QB,18,226,73,24,2001-11-18,"Washington, DC",,1
4569173,Rhamondre,Stevenson,NE,RB,38,227,72,28,1998-02-23,"Las Vegas, NV",,120
15847,Travis,Kelce,KC,TE,87,250,77,36,1989-10-05,"Cleveland Heights, OH",2013,63
4047365,Josh,Jacobs,GB,RB,8,223,70,28,1998-02-11,"Tulsa, OK",2019,24
4572680,Tucker,Kraft,GB,TE,85,259,77,25,2000-11-03,"Timber Lake, SD",,78
16737,Mike,Evans,SF,WR,5,231,77,33,1993-08-21,"Galveston, TX",2014,7
4569987,Jaylen,Warren,PIT,RB,30,215,68,27,1998-11-01,"Salt Lake City, UT",,
3121023,Dallas,Goedert,PHI,TE,88,256,77,31,1995-01-03,"Britton, SD",2018,49
4035687,Michael,Pittman Jr.,PIT,WR,11,223,76,28,1997-10-05,"Woodland Hills, CA",2020,34
3916148,Tony,Pollard,TEN,RB,20,209,72,29,1997-04-30,"Memphis, TN",2019,128
4248528,Christian,Watson,GB,WR,9,215,76,27,1999-05-12,"Tampa, FL",,34
4432620,Parker,Washington,JAX,WR,11,204,70,24,2002-03-21,"Sugar Land, TX",,185
4038815,Rico,Dowdle,PIT,RB,13,215,71,28,1998-06-14,"Asheville, NC",2020,
4426338,Bo,Nix,DEN,QB,10,217,74,26,2000-02-25,"Pinson, AL",,12
4686361,Cam,Little,JAX,K,39,172,73,23,2003-08-17,"Moore, OK",,212
4360310,Trevor,Lawrence,JAX,QB,16,220,78,26,1999-10-06,"Cartersville, GA",,1
3139477,Patrick,Mahomes,KC,QB,15,225,74,30,1995-09-17,"Whitehouse, TX",2017,10
4360761,Michael,Wilson,ARI,WR,14,213,74,26,2000-02-23,"Simi Valley, CA",,94
4360078,Alec,Pierce,IND,WR,14,211,75,26,2000-05-02,"Glen Ellyn, IL",,53
4371733,Kenny,Gainwell,TB,RB,1,200,69,27,1999-03-14,"Yazoo City, MS",,150
4242355,Jake,Ferguson,DAL,TE,87,250,77,27,1999-01-18,"Madison, WI",,129
4034949,Eddy,Pineiro,SF,K,18,190,71,30,1995-09-13,"Miami, FL",2018,
4361741,Brock,Purdy,SF,QB,13,220,73,26,1999-12-27,"Gilbert, AZ",,262
4701936,Matthew,Golden,GB,WR,0,191,71,23,2003-08-01,"Houston, TX",,23
4241416,Chuba,Hubbard,CAR,RB,30,210,73,27,1999-06-11,"Sherwood Park, AB",,126
4678008,Jonathon,Brooks,CAR,RB,25,207,72,23,2003-07-21,"Hallettsville, TX",,46
4241985,J.K.,Dobbins,DEN,RB,27,212,70,27,1998-12-17,"La Grange, TX",2020,55
4432773,Brian,Thomas Jr.,JAX,WR,7,209,74,23,2002-10-08,"Walker, LA",,23
2976212,Stefon,Diggs,WSH,WR,3,191,72,32,1993-11-29,"Gaithersburg, MD",2015,146
4569587,Wan'Dale,Robinson,TEN,WR,4,185,68,25,2001-01-05,"Frankfort, KY",,43
3042519,Aaron,Jones Sr.,MIN,RB,33,208,70,31,1994-12-02,"El Paso, TX",2017,182
3055899,Harrison,Butker,KC,K,7,205,76,31,1995-07-14,"Decatur, GA",2017,233
3116365,Mark,Andrews,BAL,TE,89,250,77,31,1995-09-06,"Scottsdale, AZ",2018,86
4361050,Isaiah,Likely,NYG,TE,9,241,76,26,2000-04-18,"Cambridge, MA",,139
4429023,MarShawn,Lloyd,GB,RB,32,220,69,25,2001-01-05,"Wilmington, DE",,88
4429205,Jordan,Addison,MIN,WR,3,179,71,24,2002-01-27,"Frederick, MD",,23
3916433,Jakobi,Meyers,JAX,WR,3,200,74,29,1996-11-09,"Lithonia, GA",2019,
4608686,Kyle,Monangai,CHI,RB,25,207,68,24,2002-06-06,"Roseland, NJ",,233
4429096,Blake,Corum,LAR,RB,24,202,68,25,2000-11-25,"Marshall, VA",,83
3116165,Chris,Godwin Jr.,TB,WR,14,209,73,30,1996-02-27,"Middletown, DE",2017,84
4568490,RJ,Harvey,DEN,RB,12,205,68,25,2001-02-04,"Orlando, FL",,60
4683062,Xavier,Worthy,KC,WR,1,165,71,23,2003-04-27,"Fresno, CA",,28
4385690,Dalton,Kincaid,BUF,TE,86,246,75,26,1999-10-18,"Las Vegas, NV",,25
4429025,Quentin,Johnston,LAC,WR,1,208,74,25,2001-09-06,"Temple, TX",,21
4697815,Rachaad,White,WSH,RB,1,214,72,27,1999-01-12,"Kansas City, MO",,91
4870795,Makai,Lemon,PHI,WR,9,192,71,22,2004-06-02,"Los Alamitos, CA",,20
4685415,Travis,Hunter,JAX,WR,12,185,73,23,2003-05-18,"Suwanee, GA",,2
4689936,Jake,Bates,DET,K,39,205,70,27,1999-03-03,"Tomball, TX",,
4575131,Jacory,Croskey-Merritt,WSH,RB,22,208,71,25,2001-04-12,"Montgomery, AL",,245
4362249,Jayden,Reed,GB,WR,11,187,71,26,2000-04-28,"Naperville, IL",,50
4688813,Josh,Downs,IND,WR,2,171,69,25,2001-08-12,"Suwanee, GA",,79
4373678,Khalil,Shakir,BUF,WR,10,190,72,26,2000-02-03,"Murrieta, CA",,148
3046779,Jared,Goff,DET,QB,16,217,76,31,1994-10-14,"Novato, CA",2016,1
4360569,Jordan,Mason,MIN,RB,27,230,71,27,1999-05-24,"Gallatin, TN",,
3126486,Deebo,Samuel Sr.,SF,WR,19,215,72,30,1996-01-15,"Inman, SC",2019,36
3917315,Kyler,Murray,MIN,QB,1,207,70,29,1997-08-07,"Allen, TX",2019,1
4710714,De'Zhaun,Stribling,SF,WR,15,207,74,23,2002-12-18,"Kapolei, HI",,33
4870653,KC,Concepcion,CLE,WR,1,190,72,21,2004-09-24,"Charlotte, NC",,24
4361432,Romeo,Doubs,NE,WR,87,210,74,26,2000-04-13,"Los Angeles, CA",,132
4036133,T.J.,Hockenson,MIN,TE,87,248,77,29,1997-07-03,"Chariton, IA",2019,8
4429059,Woody,Marks,HOU,RB,4,208,70,25,2000-12-29,"Atlanta, GA",,116
3052587,Baker,Mayfield,TB,QB,6,215,73,31,1995-04-14,"Austin, TX",2018,1
4428557,Tyjae,Spears,TEN,RB,2,195,71,25,2001-06-15,"Ponchatoula, LA",,81
3046439,Hunter,Henry,NE,TE,85,249,77,31,1994-12-07,"Little Rock, AR",2016,35
4426385,Zach,Charbonnet,SEA,RB,26,220,73,25,2001-01-08,"Camarillo, CA",,52
4697745,Tyler,Loop,BAL,K,33,191,71,25,2001-08-04,"Lucas, TX",,186
4695883,Jalen,Coker,CAR,WR,18,213,75,24,2001-10-30,"Sterling, VA",,
4360689,Tyler,Shough,NO,QB,6,219,77,26,1999-09-28,"Chandler, AZ",,40
3929645,Juwan,Johnson,NO,TE,83,231,76,29,1996-09-13,"Glassboro, NJ",2020,
4032473,Rashid,Shaheed,SEA,WR,22,180,72,28,1998-08-31,"San Diego, CA",,
4036378,Jordan,Love,GB,QB,10,219,76,27,1998-11-02,"Bakersfield, CA",2020,26
4686658,Mike,Washington Jr.,LV,RB,30,228,74,23,2003-07-03,"Utica, NY",,122
5083315,Kenyon,Sadiq,NYJ,TE,16,241,75,21,2005-03-04,"Idaho Falls, ID",,16
3054850,Alvin,Kamara,NO,RB,41,215,70,31,1995-07-25,"Norcross, GA",2017,67
17372,Chris,Boswell,PIT,K,9,185,74,35,1991-03-16,"Keller, TX",2014,
4373626,Tyler,Allgeier,ARI,RB,22,220,70,26,2000-04-15,"Fontana, CA",,151
4880281,Jordyn,Tyson,NO,WR,0,203,74,22,2004-08-12,"Allen, TX",,8
3917792,Daniel,Jones,IND,QB,17,230,77,29,1997-05-27,"Charlotte, NC",2019,6
4361529,Isiah,Pacheco,DET,RB,10,210,70,27,1999-03-02,"Vineland, NJ",,251
17427,Cairo,Santos,CHI,K,8,173,68,34,1991-11-12,"Saint Augustine, FL",2014,
4366031,Tank,Dell,HOU,WR,1,165,70,26,1999-10-29,"Daytona Beach, FL",,69
4430834,Jalen,McMillan,TB,WR,11,192,73,24,2001-12-07,"Fresno, CA",,92
4567104,Will,Reichard,MIN,K,16,190,73,25,2001-01-09,"Hoover, AL",,203
4362619,Chris,Rodriguez Jr.,JAX,RB,24,224,71,26,1999-09-26,"Mcdonough, GA",,193
15818,Keenan,Allen,IND,WR,10,211,74,34,1992-04-27,"Greensboro, NC",2013,76
4702555,Jonah,Coleman,DEN,RB,20,220,68,23,2003-08-20,"Stockton, CA",,108
4241463,Jerry,Jeudy,CLE,WR,3,195,73,27,1999-04-24,"Deerfield Beach, FL",2020,15
4241474,Brian,Robinson Jr.,ATL,RB,15,225,73,27,1999-03-22,"Tuscaloosa, AL",,98
3912547,Sam,Darnold,SEA,QB,14,225,75,29,1997-06-05,"Capistrano Beach, CA",2018,3
4428718,Tre,Tucker,LV,WR,1,182,68,25,2001-03-08,"Akron, OH",,100
4570037,Terrance,Ferguson,LAR,TE,18,252,77,23,2003-03-07,"Littleton, CO",,46
4832800,Denzel,Boston,CLE,WR,12,215,76,22,2003-12-06,"South Hill, WA",,39
4432577,C.J.,Stroud,HOU,QB,7,218,75,24,2001-10-03,"Inland Empire, CA",,2
3925357,Calvin,Ridley,TEN,WR,0,190,73,31,1994-12-20,"Fort Lauderdale, FL",2018,26
4430539,Brenton,Strange,JAX,TE,85,253,76,25,2000-12-27,"Parkersburg, WV",,61
4596334,Keaton,Mitchell,LAC,RB,34,191,68,24,2002-01-17,"Mcdonough, GA",,
4242512,Malik,Willis,MIA,QB,2,225,73,27,1999-05-25,"Atlanta, GA",,86
4360234,Evan,McPherson,CIN,K,2,185,71,27,1999-07-21,"Fort Payne, AL",,149
5081397,Dylan,Sampson,CLE,RB,22,200,68,21,2004-09-14,"Baton Rouge, LA",,126
4429013,Tank,Bigsby,PHI,RB,8,215,71,24,2002-08-30,"LaGrange, GA",,88
4038441,Justice,Hill,BAL,RB,43,205,70,28,1997-11-14,"Tulsa, OK",2019,113
3117256,Dalton,Schultz,HOU,TE,86,242,77,30,1996-07-11,"South Jordan, UT",2018,137
4870847,Ja'Kobi,Lane,BAL,WR,6,200,76,22,2004-08-05,"Mesa, AZ",,80
3150744,Chase,McLaughlin,TB,K,4,190,72,30,1996-04-09,"Cypress, TX",2019,
4597500,Adonai,Mitchell,NYJ,WR,15,205,74,23,2002-10-08,"Missouri City, TX",,52
4869645,Caleb,Douglas,MIA,WR,7,205,76,22,2003-09-09,"Missouri City, TX",,75
4429022,Kayshon,Boutte,HOU,WR,88,197,72,24,2002-05-07,"New Iberia, LA",,187
4869461,Trey,Smack,GB,K,28,188,73,23,2003-07-12,"Severna Park, MD",,216
4361411,Pat,Freiermuth,PIT,TE,88,258,77,27,1998-10-25,"Merrimac, MA",,55
4696044,Kaelon,Black,SF,RB,26,208,69,24,2001-10-17,"Virginia Beach, VA",,90
4685247,Braelon,Allen,NYJ,RB,0,235,73,22,2004-01-20,"Fond Du Lac, WI",,134
4382466,Jalen,Nailor,LV,WR,9,190,72,27,1999-03-02,"Palmdale, CA",,191
4241457,Najee,Harris,NYG,RB,22,232,73,28,1998-03-09,"Antioch, CA",,24
3116389,Samaje,Perine,CIN,RB,34,240,71,30,1995-09-16,"Pflugerville, TX",2017,114
2977187,Cooper,Kupp,SEA,WR,10,205,73,33,1993-06-15,"Yakima, WA",2017,69
4569559,Devaughn,Vele,NO,WR,14,210,77,28,1997-12-12,"San Diego, CA",,235
4685720,Bryce,Young,CAR,QB,9,204,70,25,2001-07-25,"Pasadena, CA",,1
4428850,Dontayvion,Wicks,PHI,WR,13,206,73,25,2001-06-16,"Plaquemine, LA",,159
4429501,Ray,Davis,BUF,RB,7,211,68,26,1999-11-11,"San Francisco, CA",,128
4688380,Cam,Ward,TEN,QB,1,219,74,24,2002-05-25,"West Columbia, TX",,1
4360939,Rashod,Bateman,BAL,WR,7,193,73,26,1999-11-29,"Tifton, GA",,27
4837248,Fernando,Mendoza,LV,QB,15,225,77,22,2003-10-01,"Miami, FL",,1
3886598,Jauan,Jennings,MIN,WR,14,212,75,29,1997-07-10,"Murfreesboro, TN",2020,217
4360635,Chig,Okonkwo,WSH,TE,85,238,75,27,1999-09-08,"Powder Springs, GA",,143
3050478,Jake,Elliott,PHI,K,4,167,69,31,1995-01-21,"Western Springs, IL",2017,153
4586312,Jaylin,Noel,HOU,WR,13,201,71,24,2002-09-04,"Kansas City, MO",,79
4569603,Malik,Washington,MIA,WR,6,195,68,25,2001-01-04,"Lawrenceville, GA",,184
3149687,Chris,Brooks,GB,RB,30,219,73,26,2000-01-11,"Oceanside, CA",,
4819231,Kaleb,Johnson,GB,RB,,224,73,23,2003-08-14,"Hamilton, OH",,83
8439,Aaron,Rodgers,PIT,QB,8,223,74,42,1983-12-02,"Chico, CA",2005,24
4360516,Tyrone,Tracy Jr.,NYG,RB,29,210,71,26,1999-11-23,"Indianapolis, IN",,166
4576297,AJ,Barner,SEA,TE,88,251,78,24,2002-05-03,"Aurora, OH",,121
4832955,Emmett,Johnson,KC,RB,10,200,71,22,2003-10-10,"Minneapolis, MN",,161
4682648,Malachi,Fields,NYG,WR,0,222,76,23,2003-08-26,"Charlottesville, VA",,74
2985659,Wil,Lutz,DEN,K,3,184,71,32,1994-07-07,"Newnan, GA",2016,
4685261,Germie,Bernard,PIT,WR,17,206,73,22,2003-12-02,"Las Vegas, NV",,47
4686728,Gunnar,Helm,TEN,TE,84,241,77,24,2002-09-06,"Englewood, CO",,120
4723820,Omar,Cooper Jr.,NYJ,WR,83,199,72,22,2003-12-14,"Indianapolis, IN",,30
3917232,Tyler,Bass,BUF,K,16,183,70,29,1997-02-14,"Irmo, SC",2020,188
2578570,Jacoby,Brissett,ARI,QB,7,235,76,33,1992-12-11,"West Palm Beach, FL",2016,91
3123076,David,Njoku,LAC,TE,83,246,76,30,1996-07-10,"Cedar Grove, NJ",2017,29
10621,Nick,Folk,ATL,K,6,225,73,41,1984-11-05,"Sherman Oaks, CA",2007,178
4870612,Zachariah,Branch,ATL,WR,17,180,70,22,2004-03-29,"Las Vegas, NV",,79
4912218,Cyrus,Allen,KC,WR,13,180,71,23,2003-02-11,"New Orleans, LA",,176
4877706,Jayden,Higgins,HOU,WR,81,215,76,23,2002-12-15,"South Miami, FL",,34
4686612,Tre',Harris,LAC,WR,9,210,75,24,2002-02-28,"Lafayette, LA",,55
5083754,Ryan,Flournoy,DAL,WR,19,205,73,26,1999-10-27,"Hazel Crest, IL",,216
16733,Odell,Beckham Jr.,NYG,WR,13,198,71,33,1992-11-05,"New Orleans, LA",2014,12
15864,Geno,Smith,NYJ,QB,7,221,74,35,1990-10-10,"Miami, FL",2013,39
4429835,George,Holani,SEA,RB,36,210,71,26,1999-12-16,"Bellflower, CA",,
4869961,Chris,Bell,MIA,WR,18,220,74,22,2004-06-07,"Yazoo City, MS",,94
2576925,Darren,Waller,CAR,TE,35,245,78,33,1992-09-13,"Acworth, GA",2015,204
4428209,Ricky,Pearsall,SF,WR,1,189,73,25,2000-09-09,"Chandler, AZ",,31
4571557,Spencer,Shrader,IND,K,3,201,74,27,1999-05-19,"Lithia, FL",,
4430968,Kimani,Vidal,LAC,RB,28,215,68,25,2001-08-28,"Marietta, GA",,181
4367209,Greg,Dulcich,MIA,TE,85,245,76,26,2000-03-26,"Glendale, CA",,80
4240603,Malik,Davis,DAL,RB,20,205,70,27,1998-11-26,"Tampa, FL",,
5123663,Isaac,TeSlaa,DET,WR,18,214,76,24,2002-02-20,"Hudsonville, MI",,70
3051876,Evan,Engram,DEN,TE,1,240,75,32,1994-09-02,"Powder Springs, GA",2017,23
14880,Kirk,Cousins,LV,QB,8,209,75,38,1988-08-19,"Holland, MI",2012,102
3116406,Tyreek,Hill,FA,WR,10,191,70,32,1994-03-01,"Pearson, GA",2016,165
4595342,Oronde,Gadsden,LAC,TE,86,236,77,23,2003-06-25,"Fort Lauderdale, FL",,165
4682745,Jaylen,Wright,MIA,RB,5,208,70,23,2003-04-01,"Durham, NC",,120
3045147,James,Conner,ARI,RB,6,233,73,31,1995-05-05,"Erie, PA",2017,105
4569923,Andy,Borregales,NE,K,36,202,71,23,2003-01-02,"Miami, FL",,182
4383429,Jacob,Saylors,DET,RB,25,195,71,26,2000-03-08,"Jasper, TN",,
4243331,Cade,Otton,TB,TE,88,247,77,27,1999-04-15,"Tumwater, WA",,106
4685397,Jordan,James,SF,RB,29,208,69,22,2004-03-29,"Nashville, TN",,147
4432762,Shedeur,Sanders,CLE,QB,2,212,74,24,2002-02-07,"Dallas, TX",,144
5081432,Antonio,Williams,WSH,WR,14,195,71,22,2004-07-14,"Irmo, SC",,71
4635008,Keon,Coleman,BUF,WR,0,213,75,23,2003-05-17,"Opelousas, LA",,33
3122840,Deshaun,Watson,CLE,QB,4,223,75,30,1995-09-14,"Gainesville, GA",2017,12
4430034,Xavier,Legette,CAR,WR,17,227,75,25,2001-01-29,"Mullins, SC",,32
5082424,Dominic,Zvada,NYG,K,34,187,75,22,2003-10-25,"Chandler, AZ",,
4600981,Pat,Bryant,DEN,WR,13,204,74,23,2002-12-10,"Jacksonville, FL",,74
3915411,Ty,Johnson,BUF,RB,26,210,70,28,1997-09-17,"Cumberland, MD",2019,186
4241479,Tua,Tagovailoa,ATL,QB,1,225,73,28,1998-03-02,"Ewa Beach, HI",2020,5
4040655,Darnell,Mooney,NYG,WR,17,177,71,28,1997-10-29,"Gadsden, AL",2020,173
3676833,KaVontae,Turpin,DAL,WR,9,158,67,30,1996-08-02,"Monroe, LA",,
4249087,Matt,Gay,LV,K,4,232,72,32,1994-03-15,"Orem, UT",2019,145
4711533,Ollie,Gordon II,MIA,RB,0,225,74,22,2004-01-15,"Fort Worth, TX",,179
4685555,Nicholas,Singleton,TEN,RB,32,219,72,22,2004-01-06,"Shillington, PA",,165
3051909,Daniel,Carlson,NO,K,48,222,77,31,1995-01-23,"Colorado Springs, CO",2018,167
3116164,Mike,Gesicki,CIN,TE,88,245,78,30,1995-10-03,"Manahawkin, NJ",2018,42
4430802,Darnell,Washington,PIT,TE,80,264,79,25,2001-08-17,"Las Vegas, NV",,93
4259147,Jake,Tonges,SF,TE,88,240,76,27,1999-07-08,"Los Gatos, CA",,
4869748,Zavion,Thomas,CHI,WR,81,190,70,22,2004-02-14,"Woodmere, LA",,89
4431268,Chimere,Dike,TEN,WR,17,196,73,23,2002-12-14,"Waukesha, WI",,103
4431280,Troy,Franklin,DEN,WR,11,180,75,23,2003-02-06,"East Palo Alto, CA",,102
4361409,Jahan,Dotson,ATL,WR,4,184,71,26,2000-03-22,"Nazareth, PA",,16
4242557,Colby,Parkinson,LAR,TE,84,266,79,27,1999-01-08,"Simi Valley, CA",2020,133
4685246,Kaytron,Allen,WSH,RB,31,217,71,23,2003-01-08,"Norfolk, VA",,187
3916945,Darius,Slayton,FA,WR,18,198,73,29,1997-01-12,"Norcross, GA",2019,171
4427095,DeMario,Douglas,NE,WR,3,185,68,25,2000-12-08,"Jacksonville, FL",,210
4429086,Michael,Mayer,LV,TE,87,256,76,25,2001-07-06,"Independence, KY",,35
4360423,Michael,Penix Jr.,ATL,QB,9,220,75,26,2000-05-08,"Tampa, FL",,8
4596602,Brashard,Smith,KC,RB,24,196,70,23,2003-04-11,"Richmond Heights, FL",,228
4249417,Jalen,Tolbert,MIA,WR,1,195,73,27,1999-02-27,"Mobile, AL",,88
4686468,Seth,McGowan,IND,RB,20,223,72,24,2001-10-23,"Mesquite, TX",,237
4685279,Jaydon,Blue,FA,RB,,198,69,22,2004-01-08,"Houston, TX",,149
4258595,Cole,Kmet,CHI,TE,85,257,78,27,1999-03-10,"Lake Barrington, IL",2020,43
4426386,Roschon,Johnson,CHI,RB,23,227,72,25,2001-01-31,"Port Neches, TX",,115
4362921,Tyquan,Thornton,KC,WR,2,185,74,26,2000-08-07,"Miami, FL",,50
4686472,Marvin,Mims Jr.,DEN,WR,19,182,71,24,2002-03-19,"Frisco, TX",,63
